"ts_name","noise"
"D1",1.24219701882205
"D2",13.6843215759093
"D3",9.66156629861489
"D4",28.8463799163509
"D5",1.50568110431171
"D6",1.48530367889675
"D7",118.328282540699
"D8",8.50671020495888
"D9",12.6674168181045
"D10",30.5363790453436
"D11",7.58139919977808
"D12",7.67011246688839
"D13",7.20496468371411
"D14",1.54840832898167
"D15",12.9823200957495
"D16",8.09062208940954
"D17",11.790340890158
"D18",12.1794430753244
"D19",4.7823972227881
"D20",13.096716752981
"D21",3.29773750285179
"D22",2.13962736647387
"D23",3.38092180120051
"D24",2.54256131944226
"D25",4.27784727135354
"D26",2.48459918012439
"D27",4.20163680445712
"D28",8.95997988236153
"D29",2.22756061175584
"D30",15.5951297139119
"D31",6.89982884676543
"D32",6.60563371055026
"D33",220.269132312139
"D34",53.8914411330526
"D35",34.1516380883669
"D36",24.3039190132937
"D37",3.17385297176799
"D38",4.63682036348502
"D39",3.77155758042576
"D40",7.13354166714663
"D41",0.616628291036346
"D42",0.876526288576908
"D43",3.16642842347163
"D44",94.9759902203398
"D45",5.58198822235041
"D46",10.412245513955
"D47",10.083214440526
"D48",7.51485176114271
"D49",5.24323139832552
"D50",24.4105629185576
"D51",6.39695440608117
"D52",3.38283669114333
"D53",4.98133601903879
"D54",2.17893810847993
"D55",19.365042965373
"D56",12.9067903835921
"D57",1.94885729234619
"D58",7.54311455108049
"D59",1.53752868264209
"D60",5.54366356524991
"D61",0.469880999256058
"D62",3.24742680710388
"D63",2.56947512810003
"D64",61.1539506403067
"D65",0.690909086399502
"D66",173.588067683258
"D67",0.514868813143626
"D68",1.2312635623135
"D69",11.4897534397124
"D70",102.122134435334
"D71",2.05785808676224
"D72",2.73151950963599
"D73",7.30249858402494
"D74",2.69656119530255
"D75",4.73435324172093
"D76",1.59730411969446
"D77",2.51624098390939
"D78",2.41027438195887
"D79",5.61369795754199
"D80",2.60616691015275
"D81",1.62803964280206
"D82",3.50272515042684
"D83",6.00998949312554
"D84",9.08288105986624
"D85",27.8308296864099
"D86",27.3343935140695
"D87",19.9288659728416
"D88",19.4512827617956
"D89",26.6507433351976
"D90",29.0989197511721
"D91",22.3567923451895
"D92",31.6354999910809
"D93",18.9653301279266
"D94",39.6169663020314
"D95",37.3972068609645
"D96",24.5411686076214
"D97",34.4643626225834
"D98",18.7167327922778
"D99",28.8979877180448
"D100",25.9542039413398
"D101",6.56971200326475
"D102",8.95738782422857
"D103",13.2177348685955
"D104",3.89607183886768
"D105",3.64836071388408
"D106",26.0561148481242
"D107",19.9570622067641
"D108",23.2365929033117
"D109",27.8891046073539
"D110",21.8869609685287
"D111",8.65308318520515
"D112",6.68043115019248
"D113",7.10782464430423
"D114",13.0270791993939
"D115",14.7486254131636
"D116",13.4740078668005
"D117",19.4934164153136
"D118",22.9280394447235
"D119",22.9308613452257
"D120",11.9050909801021
"D121",13.9410145912769
"D122",12.392224079675
"D123",28.86885750392
"D124",25.8753200634475
"D125",5.98155885305731
"D126",12.9341434983899
"D127",10.1657407505333
"D128",76.5902192430166
"D129",94.1532787354724
"D130",18.1472131122384
"D131",19.6793018516389
"D132",2.38942020568078
"D133",1.3239254627045
"D134",2.17262186091134
"D135",31.9311098613671
"D136",4.56495325102553
"D137",6.78698041993282
"D138",4.03414673970161
"D139",8.46396225373484
"D140",78.3835993097214
"D141",40.8539611769307
"D142",21.5255439826577
"D143",35.2329149409028
"D144",28.9713915024111
"D145",10.2104505590618
"D146",19.33288860352
"D147",20.173105027132
"D148",14.8821565733223
"D149",14.6248088094358
"D150",21.6714748376822
"D151",22.1794525156184
"D152",18.1829180482469
"D153",13.8679623603316
"D154",30.1628279333548
"D155",13.0133882438522
"D156",44.2544986815648
"D157",4.66962584757374
"D158",44.8240498955665
"D159",66.3539299824449
"D160",7.98287526215852
"D161",4.37627276717643
"D162",66.7439192636587
"D163",9.36606519200765
"D164",25.7811714715222
"D165",24.7389904106804
"D166",0.613339002999921
"D167",1.71658286064045
"D168",2.53158149624085
"D169",5.49437051779215
"D170",17.0330783376599
"D171",16.0695861566139
"D172",16.4779485173011
"D173",16.1751001112604
"D174",16.0028651058001
"D175",189.874249773832
"D176",3.14247280143381
"D177",3.41754135926682
"D178",3.30048657668456
"D179",13.2849482736782
"D180",11.6471366319105
"D181",12.111934959121
"D182",12.1180653910582
"D183",3.52910794697007
"D184",3.1834449861243
"D185",3.54328313577587
"D186",3.35812919481861
"D187",8.16505623148253
"D188",8.36047193545644
"D189",8.36261671542532
"D190",3.48400436748749
"D191",3.43635509392153
"D192",3.26093762196151
"D193",6.11677347779514
"D194",6.13999270194218
"D195",6.10721430786089
"D196",6.50394092141662
"D197",24.6832608511095
"D198",23.4894474790937
"D199",23.5041194189446
"D200",23.5922094415684
